Date,BRL
2021-12-29,5.6387
2021-12-28,5.6274
2021-12-27,5.6318
2021-12-24,5.6745
2021-12-23,5.6769
2021-12-22,5.6603
2021-12-21,5.7449
2021-12-20,5.7374
2021-12-17,5.6858
2021-12-16,5.6876
2021-12-15,5.6852
2021-12-14,5.6897
2021-12-13,5.6762
2021-12-10,5.6092
2021-12-09,5.5802
2021-12-08,5.5301
2021-12-07,5.6101
2021-12-06,5.686
2021-12-03,5.653
2021-12-02,5.6393
2021-12-01,5.6796
2021-11-30,5.6227
2021-11-29,5.6081
2021-11-26,5.6029
2021-11-25,5.5633
2021-11-24,5.6013
2021-11-23,5.5909
2021-11-22,5.5969
2021-11-19,5.6102
2021-11-18,5.5663
2021-11-17,5.5241
2021-11-16,5.4976
2021-11-12,5.4565
2021-11-11,5.4045
2021-11-10,5.498
2021-11-09,5.4852
2021-11-08,5.5422
2021-11-05,5.5424
2021-11-04,5.603
2021-11-03,5.5537
2021-11-01,5.6849
2021-10-29,5.6365
2021-10-28,5.6465
2021-10-27,5.5384
2021-10-26,5.5668
2021-10-25,5.5568
2021-10-22,5.6497
2021-10-21,5.6612
2021-10-20,5.5978
2021-10-19,5.5847
2021-10-18,5.5127
2021-10-15,5.4608
2021-10-14,5.5126
2021-10-13,5.5166
2021-10-11,5.5385
2021-10-08,5.5086
2021-10-07,5.5188
2021-10-06,5.4934
2021-10-05,5.4757
2021-10-04,5.4553
2021-10-01,5.3645
2021-09-30,5.443
2021-09-29,5.4146
2021-09-28,5.43
2021-09-27,5.3911
2021-09-24,5.3355
2021-09-23,5.3033
2021-09-22,5.2899
2021-09-21,5.2726
2021-09-20,5.3245
2021-09-17,5.2893
2021-09-16,5.259
2021-09-15,5.2229
2021-09-14,5.2402
2021-09-13,5.2157
2021-09-10,5.2468
2021-09-09,5.2045
2021-09-08,5.3205
2021-09-06,5.1701
2021-09-03,5.1926
2021-09-02,5.1842
2021-09-01,5.1867
2021-08-31,5.1512
2021-08-30,5.1848
2021-08-27,5.2046
2021-08-26,5.2572
2021-08-25,5.2149
2021-08-24,5.2476
2021-08-23,5.3806
2021-08-20,5.3807
2021-08-19,5.415
2021-08-18,5.3878
2021-08-17,5.2957
2021-08-16,5.2602
2021-08-13,5.2486
2021-08-12,5.2532
2021-08-11,5.2205
2021-08-10,5.1903
2021-08-09,5.2352
2021-08-06,5.2327
2021-08-05,5.2487
2021-08-04,5.1694
2021-08-03,5.1976
2021-08-02,5.1738
2021-07-30,5.2115
2021-07-29,5.0811
2021-07-28,5.117
2021-07-27,5.1713
2021-07-26,5.1778
2021-07-23,5.2001
2021-07-22,5.2017
2021-07-21,5.188
2021-07-20,5.2217
2021-07-19,5.2519
2021-07-16,5.1152
2021-07-15,5.1116
2021-07-14,5.0727
2021-07-13,5.1634
2021-07-12,5.1734
2021-07-09,5.2598
2021-07-08,5.2599
2021-07-07,5.232
2021-07-06,5.1997
2021-07-05,5.0953
2021-07-02,5.0589
2021-07-01,5.0493
2021-06-30,4.969
2021-06-29,4.9566
2021-06-28,4.9266
2021-06-25,4.9341
2021-06-24,4.9143
2021-06-23,4.9667
2021-06-22,4.9586
2021-06-21,5.0147
2021-06-18,5.0901
2021-06-17,5.009
2021-06-16,5.0559
2021-06-15,5.0463
2021-06-14,5.0623
2021-06-11,5.1181
2021-06-10,5.0571
2021-06-09,5.0629
2021-06-08,5.0346
2021-06-07,5.0459
2021-06-04,5.0492
2021-06-02,5.0762
2021-06-01,5.1512
2021-05-31,5.2191
2021-05-28,5.2255
2021-05-27,5.2387
2021-05-26,5.312
2021-05-25,5.332
2021-05-24,5.3185
2021-05-21,5.3662
2021-05-20,5.2846
2021-05-19,5.3105
2021-05-18,5.2613
2021-05-17,5.2751
2021-05-14,5.2728
2021-05-13,5.3087
2021-05-12,5.307
2021-05-11,5.2213
2021-05-10,5.2283
2021-05-07,5.2369
2021-05-06,5.2761
2021-05-05,5.3551
2021-05-04,5.4428
2021-05-03,5.4423
2021-04-30,5.4381
2021-04-29,5.3393
2021-04-28,5.3444
2021-04-27,5.4514
2021-04-26,5.4358
2021-04-23,5.4764
2021-04-22,5.4469
2021-04-21,5.5698
2021-04-20,5.5675
2021-04-19,5.549
2021-04-16,5.588
2021-04-15,5.6156
2021-04-14,5.6533
2021-04-13,5.7174
2021-04-12,5.7344
2021-04-09,5.6821
2021-04-08,5.5714
2021-04-07,5.6161
2021-04-06,5.5923
2021-04-05,5.6663
2021-04-01,5.7102
2021-03-31,5.6344
2021-03-30,5.7751
2021-03-29,5.7829
2021-03-26,5.7565
2021-03-25,5.6476
2021-03-24,5.6227
2021-03-23,5.5213
2021-03-22,5.5044
2021-03-19,5.491
2021-03-18,5.5617
2021-03-17,5.5879
2021-03-16,5.625
2021-03-15,5.6174
2021-03-12,5.5552
2021-03-11,5.5396
2021-03-10,5.6721
2021-03-09,5.8053
2021-03-08,5.8169
2021-03-05,5.6838
2021-03-04,5.6688
2021-03-03,5.6232
2021-03-02,5.6645
2021-03-01,5.6347
2021-02-26,5.6023
2021-02-25,5.5197
2021-02-24,5.4156
2021-02-23,5.4411
2021-02-22,5.4591
2021-02-19,5.3872
2021-02-18,5.4317
2021-02-17,5.4129
2021-02-12,5.3779
2021-02-11,5.3852
2021-02-10,5.3842
2021-02-09,5.3825
2021-02-08,5.3575
2021-02-05,5.3778
2021-02-04,5.432
2021-02-03,5.378
2021-02-02,5.3593
2021-02-01,5.4454
2021-01-29,5.4715
2021-01-28,5.4406
2021-01-27,5.4112
2021-01-26,5.3523
2021-01-25,5.4672
2021-01-22,5.4705
2021-01-21,5.3598
2021-01-20,5.308
2021-01-19,5.3534
2021-01-18,5.2969
2021-01-15,5.2992
2021-01-14,5.2039
2021-01-13,5.3075
2021-01-12,5.3208
2021-01-11,5.5048
2021-01-08,5.4205
2021-01-07,5.4014
2021-01-06,5.3023
2021-01-05,5.2766
2021-01-04,5.2719
2020-12-31,5.1935
2020-12-30,5.1926
2020-12-29,5.2046
2020-12-28,5.2466
2020-12-24,5.2166
2020-12-23,5.2058
2020-12-22,5.1628
2020-12-21,5.1269
2020-12-18,5.0838
2020-12-17,5.0659
2020-12-16,5.0858
2020-12-15,5.0828
2020-12-14,5.1164
2020-12-11,5.061
2020-12-10,5.019
2020-12-09,5.1684
2020-12-08,5.1193
2020-12-07,5.1075
2020-12-04,5.1298
2020-12-03,5.1585
2020-12-02,5.2315
2020-12-01,5.2184
2020-11-30,5.3583
2020-11-27,5.3369
2020-11-26,5.3323
2020-11-25,5.3169
2020-11-24,5.375
2020-11-23,5.4341
2020-11-20,5.3892
2020-11-19,5.3091
2020-11-18,5.3632
2020-11-17,5.3244
2020-11-16,5.4303
2020-11-13,5.4625
2020-11-12,5.4584
2020-11-11,5.4001
2020-11-10,5.412
2020-11-09,5.3813
2020-11-06,5.3775
2020-11-05,5.5397
2020-11-04,5.6656
2020-11-03,5.752
2020-10-30,5.7444
2020-10-29,5.7793
2020-10-28,5.7502
2020-10-27,5.7064
2020-10-26,5.6244
2020-10-23,5.6196
2020-10-22,5.5927
2020-10-21,5.606
2020-10-20,5.6061
2020-10-19,5.6091
2020-10-16,5.646
2020-10-15,5.614
2020-10-14,5.5926
2020-10-13,5.5706
2020-10-09,5.5322
2020-10-08,5.5996
2020-10-07,5.6113
2020-10-06,5.594
2020-10-05,5.5781
2020-10-02,5.6845
2020-10-01,5.648
2020-09-30,5.6103
2020-09-29,5.6348
2020-09-28,5.6613
2020-09-25,5.5627
2020-09-24,5.51
2020-09-23,5.5959
2020-09-22,5.4721
2020-09-21,5.4146
2020-09-18,5.3899
2020-09-17,5.2396
2020-09-16,5.2375
2020-09-15,5.2771
2020-09-14,5.2723
2020-09-11,5.3193
2020-09-10,5.3194
2020-09-09,5.3077
2020-09-08,5.3625
2020-09-04,5.3018
2020-09-03,5.2921
2020-09-02,5.3424
2020-09-01,5.3955
2020-08-31,5.4937
2020-08-28,5.3893
2020-08-27,5.5695
2020-08-26,5.6104
2020-08-25,5.5092
2020-08-24,5.6117
2020-08-21,5.621
2020-08-20,5.5591
2020-08-19,5.5566
2020-08-18,5.4677
2020-08-17,5.511
2020-08-14,5.4229
2020-08-13,5.3692
2020-08-12,5.4329
2020-08-11,5.382
2020-08-10,5.4808
2020-08-07,5.4383
2020-08-06,5.3324
2020-08-05,5.2927
2020-08-04,5.2894
2020-08-03,5.3225
2020-07-31,5.2225
2020-07-30,5.1552
2020-07-29,5.1705
2020-07-28,5.1576
2020-07-27,5.1505
2020-07-24,5.2319
2020-07-23,5.2138
2020-07-22,5.1178
2020-07-21,5.1737
2020-07-20,5.3323
2020-07-17,5.3863
2020-07-16,5.3323
2020-07-15,5.372
2020-07-14,5.3672
2020-07-13,5.4047
2020-07-10,5.3258
2020-07-09,5.3444
2020-07-08,5.3396
2020-07-07,5.3821
2020-07-06,5.3553
2020-07-03,5.314
2020-07-02,5.3618
2020-07-01,5.3198
2020-06-30,5.4659
2020-06-29,5.4048
2020-06-26,5.4844
