Date,JPY
2022-01-04,115.72
2022-01-03,115.32
2021-12-31,115.08
2021-12-30,115.08
2021-12-29,114.95
2021-12-28,114.82
2021-12-27,114.87
2021-12-24,114.38
2021-12-23,114.39
2021-12-22,114.1
2021-12-21,114.1
2021-12-20,113.61
2021-12-17,113.63
2021-12-16,113.67
2021-12-15,114.04
2021-12-14,113.7
2021-12-13,113.54
2021-12-10,113.44
2021-12-09,113.49
2021-12-08,113.67
2021-12-07,113.6
2021-12-06,113.48
2021-12-03,112.8
2021-12-02,113.11
2021-12-01,112.78
2021-11-30,113.17
2021-11-29,113.53
2021-11-26,113.38
2021-11-25,115.36
2021-11-24,115.43
2021-11-23,115.14
2021-11-22,114.88
2021-11-19,113.99
2021-11-18,114.26
2021-11-17,114.08
2021-11-16,114.82
2021-11-15,114.12
2021-11-12,113.89
2021-11-11,114.06
2021-11-10,113.91
2021-11-09,112.87
2021-11-08,113.23
2021-11-05,113.41
2021-11-04,113.76
2021-11-03,114.01
2021-11-02,113.96
2021-11-01,114
2021-10-29,113.95
2021-10-28,113.58
2021-10-27,113.83
2021-10-26,114.16
2021-10-25,113.71
2021-10-22,113.5
2021-10-21,113.99
2021-10-20,114.31
2021-10-19,114.38
2021-10-18,114.32
2021-10-15,114.22
2021-10-14,113.68
2021-10-13,113.25
2021-10-12,113.61
2021-10-11,113.31
2021-10-08,112.24
2021-10-07,111.63
2021-10-06,111.41
2021-10-05,111.46
2021-10-04,110.93
2021-10-01,111.05
2021-09-30,111.29
2021-09-29,111.96
2021-09-28,111.5
2021-09-27,111
2021-09-24,110.73
2021-09-23,110.33
2021-09-22,109.78
2021-09-21,109.23
2021-09-20,109.44
2021-09-17,109.93
2021-09-16,109.73
2021-09-15,109.38
2021-09-14,109.69
2021-09-13,109.99
2021-09-10,109.94
2021-09-09,109.72
2021-09-08,110.25
2021-09-07,110.28
2021-09-06,109.86
2021-09-03,109.71
2021-09-02,109.94
2021-09-01,110.01
2021-08-31,110.02
2021-08-30,109.92
2021-08-27,109.84
2021-08-26,110.09
2021-08-25,110.02
2021-08-24,109.65
2021-08-23,109.7
2021-08-20,109.78
2021-08-19,109.74
2021-08-18,109.77
2021-08-17,109.6
2021-08-16,109.24
2021-08-13,109.59
2021-08-12,110.41
2021-08-11,110.43
2021-08-10,110.57
2021-08-09,110.29
2021-08-06,110.25
2021-08-05,109.77
2021-08-04,109.48
2021-08-03,109.04
2021-08-02,109.31
2021-07-30,109.72
2021-07-29,109.48
2021-07-28,109.91
2021-07-27,109.78
2021-07-26,110.39
2021-07-23,110.55
2021-07-22,110.14
2021-07-21,110.29
2021-07-20,109.85
2021-07-19,109.46
2021-07-16,110.07
2021-07-15,109.83
2021-07-14,109.97
2021-07-13,110.63
2021-07-12,110.37
2021-07-09,110.14
2021-07-08,109.72
2021-07-07,110.66
2021-07-06,110.63
2021-07-05,110.97
2021-07-02,111.05
2021-07-01,111.53
2021-06-30,111.11
2021-06-29,110.53
2021-06-28,110.63
2021-06-25,110.75
2021-06-24,110.87
2021-06-23,110.96
2021-06-22,110.65
2021-06-21,110.27
2021-06-18,110.21
2021-06-17,110.21
2021-06-16,110.71
2021-06-15,110.08
2021-06-14,110.07
2021-06-11,109.66
2021-06-10,109.33
2021-06-09,109.63
2021-06-08,109.5
2021-06-07,109.25
2021-06-04,109.52
2021-06-03,110.29
2021-06-02,109.56
2021-06-01,109.48
2021-05-31,109.58
2021-05-28,109.85
2021-05-27,109.81
2021-05-26,109.15
2021-05-25,108.78
2021-05-24,108.75
2021-05-21,108.96
2021-05-20,108.78
2021-05-19,109.22
2021-05-18,108.9
2021-05-17,109.21
2021-05-14,109.35
2021-05-13,109.47
2021-05-12,109.67
2021-05-11,108.62
2021-05-10,108.81
2021-05-07,108.6
2021-05-06,109.09
2021-05-05,109.21
2021-05-04,109.33
2021-05-03,109.07
2021-04-30,109.31
2021-04-29,108.93
2021-04-28,108.6
2021-04-27,108.7
2021-04-26,108.08
2021-04-23,107.88
2021-04-22,107.97
2021-04-21,108.08
2021-04-20,108.11
2021-04-19,108.17
2021-04-16,108.8
2021-04-15,108.76
2021-04-14,108.93
2021-04-13,109.06
2021-04-12,109.38
2021-04-09,109.67
2021-04-08,109.26
2021-04-07,109.85
2021-04-06,109.75
2021-04-05,110.18
2021-04-02,110.69
2021-04-01,110.62
2021-03-31,110.72
2021-03-30,110.36
2021-03-29,109.81
2021-03-26,109.64
2021-03-25,109.19
2021-03-24,108.73
2021-03-23,108.59
2021-03-22,108.85
2021-03-19,108.88
2021-03-18,108.89
2021-03-17,108.84
2021-03-16,109
2021-03-15,109.13
2021-03-12,109.03
2021-03-11,108.51
2021-03-10,108.38
2021-03-09,108.48
2021-03-08,108.89
2021-03-05,108.31
2021-03-04,107.98
2021-03-03,107.01
2021-03-02,106.69
2021-03-01,106.76
2021-02-26,106.57
2021-02-25,106.21
2021-02-24,105.87
2021-02-23,105.25
2021-02-22,105.08
2021-02-19,105.45
2021-02-18,105.69
2021-02-17,105.87
2021-02-16,106.04
2021-02-15,105.38
2021-02-12,104.94
2021-02-11,104.75
2021-02-10,104.59
2021-02-09,104.59
2021-02-08,105.23
2021-02-05,105.39
2021-02-04,105.54
2021-02-03,105.03
2021-02-02,104.98
2021-02-01,104.93
2021-01-29,104.68
2021-01-28,104.24
2021-01-27,104.11
2021-01-26,103.62
2021-01-25,103.75
2021-01-22,103.78
2021-01-21,103.5
2021-01-20,103.54
2021-01-19,103.9
2021-01-18,103.69
2021-01-15,103.85
2021-01-14,103.8
2021-01-13,103.89
2021-01-12,103.76
2021-01-11,104.26
2021-01-08,103.94
2021-01-07,103.81
2021-01-06,103.04
2021-01-05,102.72
2021-01-04,103.13
2021-01-01,103.2
2020-12-31,103.25
2020-12-30,103.19
2020-12-29,103.58
2020-12-28,103.81
2020-12-25,103.43
2020-12-24,103.65
2020-12-23,103.57
2020-12-22,103.64
2020-12-21,103.32
2020-12-18,103.3
2020-12-17,103.11
2020-12-16,103.47
2020-12-15,103.67
2020-12-14,104.05
2020-12-11,104.04
2020-12-10,104.24
2020-12-09,104.23
2020-12-08,104.16
2020-12-07,104.05
2020-12-04,104.17
2020-12-03,103.84
2020-12-02,104.42
2020-12-01,104.33
2020-11-30,104.31
2020-11-27,104.09
2020-11-26,104.26
2020-11-25,104.46
2020-11-24,104.44
2020-11-23,104.52
2020-11-20,103.86
2020-11-19,103.74
2020-11-18,103.82
2020-11-17,104.19
2020-11-16,104.58
2020-11-13,104.63
2020-11-12,105.13
2020-11-11,105.43
