Date,Open,High,Low,Close,Adj Close,Volume
2017-01-09,9.062110,9.090570,9.049500,9.061810,9.061810,0
2017-01-10,9.034530,9.058160,9.002140,9.034280,9.034280,0
2017-01-11,9.081030,9.152030,9.054150,9.080710,9.080710,0
2017-01-12,9.014910,9.031170,8.899400,9.016910,9.016910,0
2017-01-13,8.947110,8.957200,8.895700,8.947700,8.947700,0
2017-01-16,8.923700,8.972470,8.907860,8.925140,8.925140,0
2017-01-17,8.948210,8.951710,8.872540,8.948210,8.948210,0
2017-01-18,8.896920,8.941410,8.888300,8.897100,8.897100,0
2017-01-19,8.947300,9.020520,8.923170,8.951710,8.951710,0
2017-01-20,8.950280,8.956630,8.894100,8.950830,8.950830,0
2017-01-23,8.880140,8.880880,8.830900,8.876100,8.876100,0
2017-01-24,8.834310,8.852220,8.816900,8.832710,8.832710,0
2017-01-25,8.851520,8.868860,8.806140,8.850830,8.850830,0
2017-01-26,8.812810,8.861010,8.798400,8.814930,8.814930,0
2017-01-27,8.841280,8.869310,8.814470,8.840400,8.840400,0
2017-01-30,8.830600,8.884500,8.811700,8.834050,8.834050,0
2017-01-31,8.821010,8.839810,8.737270,8.820570,8.820570,0
2017-02-01,8.743970,8.775610,8.715900,8.743410,8.743410,0
2017-02-02,8.747600,8.747600,8.695740,8.748810,8.748810,0
2017-02-03,8.744400,8.801690,8.736000,8.748790,8.748790,0
2017-02-06,8.766910,8.848410,8.755320,8.763800,8.763800,0
2017-02-07,8.828910,8.899410,8.825900,8.828360,8.828360,0
2017-02-08,8.874100,8.891760,8.835810,8.876930,8.876930,0
2017-02-09,8.837500,8.904010,8.834400,8.840710,8.840710,0
2017-02-10,8.904810,8.932480,8.892900,8.899700,8.899700,0
2017-02-13,8.933310,8.940170,8.895700,8.932310,8.932310,0
2017-02-14,8.934300,8.950550,8.900400,8.934100,8.934100,0
2017-02-15,8.932550,8.984910,8.922190,8.933680,8.933680,0
2017-02-16,8.916600,8.922430,8.859850,8.916500,8.916500,0
2017-02-17,8.858500,8.908510,8.850100,8.855400,8.855400,0
2017-02-20,8.904170,8.932610,8.895300,8.903450,8.903450,0
2017-02-21,8.936980,8.997160,8.931900,8.936410,8.936410,0
2017-02-22,8.969220,9.026410,8.956700,8.971320,8.971320,0
2017-02-23,8.970900,8.997720,8.960900,8.972100,8.972100,0
2017-02-24,8.988700,9.026510,8.961000,8.992450,8.992450,0
2017-02-27,9.045250,9.053810,9.008400,9.045210,9.045210,0
2017-02-28,9.065290,9.071970,9.004510,9.061700,9.061700,0
2017-03-01,9.044910,9.075670,9.022280,9.046510,9.046510,0
2017-03-02,9.054880,9.073780,9.028000,9.059190,9.059190,0
2017-03-03,9.082490,9.086180,9.009600,9.078400,9.078400,0
2017-03-06,8.978800,9.011810,8.964300,8.980210,8.980210,0
2017-03-07,9.017130,9.026810,8.992400,9.021150,9.021150,0
2017-03-08,9.012010,9.037720,8.999700,9.010970,9.010970,0
2017-03-09,9.046900,9.063360,9.002800,9.049210,9.049210,0
2017-03-10,9.044480,9.044480,8.985510,9.045590,9.045590,0
2017-03-13,8.996950,9.002210,8.941100,8.994910,8.994910,0
2017-03-14,8.937460,8.963020,8.910810,8.940710,8.940710,0
2017-03-15,8.957550,9.009670,8.945700,8.964110,8.964110,0
2017-03-16,8.871100,8.883850,8.816210,8.871470,8.871470,0
2017-03-17,8.812310,8.826310,8.785200,8.809300,8.809300,0
2017-03-20,8.826160,8.850510,8.798200,8.826650,8.826650,0
2017-03-21,8.821540,8.823410,8.771600,8.823130,8.823130,0
2017-03-22,8.796600,8.840070,8.769450,8.795990,8.795990,0
2017-03-23,8.798370,8.822210,8.785080,8.796780,8.796780,0
2017-03-24,8.822900,8.846720,8.803700,8.824160,8.824160,0
2017-03-27,8.782750,8.787850,8.760210,8.781680,8.781680,0
2017-03-28,8.783620,8.793770,8.765600,8.785550,8.785550,0
2017-03-29,8.827370,8.900190,8.816880,8.827170,8.827170,0
2017-03-30,8.868840,8.917300,8.868840,8.870740,8.870740,0
2017-03-31,8.929420,8.948510,8.915000,8.932730,8.932730,0
2017-04-03,8.959200,8.977600,8.908900,8.958650,8.958650,0
2017-04-04,8.957190,9.033360,8.954200,8.955800,8.955800,0
2017-04-05,8.996510,9.006660,8.951400,8.992190,8.992190,0
2017-04-06,8.978400,9.013120,8.970490,8.979930,8.979930,0
2017-04-07,9.020200,9.066210,9.000900,9.022850,9.022850,0
2017-04-10,9.077210,9.095960,9.058400,9.076880,9.076880,0
2017-04-11,9.072080,9.098200,9.027500,9.073120,9.073120,0
2017-04-12,9.052280,9.057660,9.005200,9.052520,9.052520,0
